City,EmployeeID,EmployeeName,NumOpens,Role,RoleID,Username,YearsAtCompany,"_time"
"San Diego",101701,"Roger Wise",22,DBA,24209801,RWISE,1,"1478131200.000"
"San Francisco",123494,"Sharon Griffith",22,DBA,24209801,SGRIFFITH,10,"1478131200.000"
"San Diego",103251,"Tasha Edwards",22,"Unit Secretary",24219221,TEDWARDS,4,"1478131200.000"
"San Diego",112833,"Virginia Church",22,"Registered Nurse",24216185,VCHURCH,9,"1478131200.000"
Denver,129411,"Zachary Monroe",22,"Registered Nurse",24216185,ZMONROE,7,"1478131200.000"
"San Francisco",119256,"Erika Hays",220,"Social Worker",24219079,EHAYS,6,"1478131200.000"
"San Diego",126217,"Sara Austin",220,"Registered Nurse",24216185,SAUSTIN,3,"1478131200.000"
Honolulu,109506,"Brad Simmons",223,Transport,107938504,BSIMMONS,8,"1478131200.000"
Denver,134799,"Natasha Hensley",223,DBA,24209801,NHENSLEY,1,"1478131200.000"
"Santa Rosa",119249,"James Byrd",224,DBA,24209801,JBYRD,10,"1478131200.000"
Honolulu,109184,"Jesse Schwartz",224,"Registered Nurse",24216185,JSCHWARTZ,4,"1478131200.000"
Seattle,103270,"Stephen Burgess",225,"Registered Nurse",24216185,SBURGESS,8,"1478131200.000"
"San Diego",128509,"Meredith Reilly",227,DBA,24209801,MREILLY,3,"1478131200.000"
Honolulu,100288,"Dawn Rodgers",228,"Registered Nurse",24216185,DRODGERS,7,"1478131200.000"
"San Francisco",100143,"Gregory Hudson",228,DBA,24209801,GHUDSON,7,"1478131200.000"
Seattle,119950,"Jennifer Bailey",228,DBA,24209801,JBAILEY,5,"1478131200.000"
"San Diego",134409,"Tamara Hensley",228,DBA,24209801,THENSLEY,8,"1478131200.000"
Seattle,128091,"Charles Fleming",229,"Registered Nurse",24216185,CFLEMING,4,"1478131200.000"
Seattle,133738,"Jacob Burns",229,"Unit Secretary LDRP",53158672,JBURNS,2,"1478131200.000"
"Santa Rosa",114178,"Jimmy Andersen",229,"Physical Therapist",24214774,JANDERSEN,1,"1478131200.000"
Seattle,108422,"Jose Huber",229,"Physical Therapist",24214774,JHUBER,2,"1478131200.000"
Honolulu,119993,"Lacey Oneill",229,"Registered Nurse, Case Management",24216672,LONEILL,6,"1478131200.000"
"Santa Rosa",136360,"Stacey Henry",229,DBA,24209801,SHENRY,1,"1478131200.000"
Denver,111091,"Austin Roman",23,DBA,24209801,AROMAN,8,"1478131200.000"
"San Diego",130078,"Autumn Shah",23,DBA,24209801,ASHAH,5,"1478131200.000"
"San Diego",131747,"Brandon Parrish",23,"Registered Nurse",24216185,BPARRISH,2,"1478131200.000"
"San Francisco",133201,"David Fitzgerald",23,DBA,24209801,DFITZGERALD,8,"1478131200.000"
Denver,126247,"Hannah Quinn",23,DBA,24209801,HQUINN,1,"1478131200.000"
Honolulu,135455,"James Levine",23,DBA,24209801,JLEVINE,2,"1478131200.000"
"San Francisco",105942,"Joshua Church",23,"Registered Nurse",24216185,JCHURCH,10,"1478131200.000"
"San Diego",126368,"Lauren Dillon",23,"Registered Nurse",24216185,LDILLON,1,"1478131200.000"
"San Diego",132867,"Monique Esparza",23,ViewPointTEST,107182619,MESPARZA,8,"1478131200.000"
Seattle,100166,"Rachael Vance",23,"Physical Therapist",24214774,RVANCE,6,"1478131200.000"
Seattle,127035,"Ricky Herman",23,Transport,107938504,RHERMAN,2,"1478131200.000"
"San Francisco",117447,"Roger Goodwin",23,"Registered Nurse",24216185,RGOODWIN,5,"1478131200.000"
"Santa Rosa",139792,"Stefanie Hendrix",23,"Physician CPOE",24214989,SHENDRIX,4,"1478131200.000"
"San Francisco",137960,"Tracy Barron",23,"Physician CPOE",24214989,TBARRON,9,"1478131200.000"
"San Francisco",121724,"Barbara Lutz",230,DBA,24209801,BLUTZ,10,"1478131200.000"
"San Francisco",121587,"Brent Oconnor",230,DBA,24209801,BOCONNOR,4,"1478131200.000"
"San Diego",133867,"Garrett Hanson",230,Transport,107938504,GHANSON,8,"1478131200.000"
Seattle,129489,"Nicholas Kemp",231,DBA,24209801,NKEMP,6,"1478131200.000"
"Santa Rosa",122601,"Tiffany Davies",231,DBA,24209801,TDAVIES,5,"1478131200.000"
"San Francisco",117499,"Angel Harvey",232,DBA,24209801,AHARVEY,2,"1478131200.000"
"San Francisco",117808,"Jill Bennett",232,DBA,24209801,JBENNETT,3,"1478131200.000"
"San Francisco",119935,"Jonathan Zamora",232,"Registered Nurse",24216185,JZAMORA,4,"1478131200.000"
"San Francisco",123226,"Kelsey Werner",232,DBA,24209801,KWERNER,10,"1478131200.000"
Denver,111091,"Austin Roman",233,DBA,24209801,AROMAN,8,"1478131200.000"
Honolulu,126662,"Jay Bartlett",233,DBA,24209801,JBARTLETT,7,"1478131200.000"
Denver,117139,"Jonathon Hancock",233,"Physician CPOE",24214989,JHANCOCK,2,"1478131200.000"
Honolulu,130280,"Lawrence Noble",233,"Physical Therapist",24214774,LNOBLE,10,"1478131200.000"
"Santa Rosa",136906,"Nicole Weeks",233,DBA,24209801,NWEEKS,7,"1478131200.000"
"San Diego",101712,"Priscilla Lowery",233,"Physical Therapist",24214774,PLOWERY,4,"1478131200.000"
Denver,137986,"Brendan Yates",234,"Unit Secretary",24219221,BYATES,6,"1478131200.000"
"San Diego",123139,"Chase Weiss",234,"Registered Nurse",24216185,CWEISS,5,"1478131200.000"
Denver,117054,"Holly Irwin",234,"Physician, Hospitalist Service",24215364,HIRWIN,2,"1478131200.000"
Denver,131663,"Miguel Howard",234,DBA,24209801,MHOWARD,6,"1478131200.000"
"San Diego",137957,"Ross Deleon",234,"Occupational Therapist",24214159,RDELEON,7,"1478131200.000"
Honolulu,108800,"Brandi Martin",235,DBA,24209801,BMARTIN,1,"1478131200.000"
Denver,137967,"Carolyn Fisher",235,"Registered Nurse",24216185,CFISHER,5,"1478131200.000"
"San Diego",135131,"Jermaine Montgomery",235,DBA,24209801,JMONTGOMERY,6,"1478131200.000"
Honolulu,106194,"Megan Kirby",235,DBA,24209801,MKIRBY,9,"1478131200.000"
"San Francisco",117447,"Roger Goodwin",235,"Registered Nurse",24216185,RGOODWIN,5,"1478131200.000"
Honolulu,127970,"Drew Schaefer",236,Transport,107938504,DSCHAEFER,6,"1478131200.000"
Seattle,134760,"Sandra Pugh",236,"Registered Nurse",24216185,SPUGH,0,"1478131200.000"
"San Francisco",100121,"Vincent Berry",236,"Registered Nurse",24216185,VBERRY,9,"1478131200.000"
"San Diego",126368,"Lauren Dillon",237,"Registered Nurse",24216185,LDILLON,1,"1478131200.000"
"San Diego",139317,"Michelle Parrish",237,"MedRec Audit",24209801,MPARRISH,3,"1478131200.000"
Honolulu,101749,"Rachel Shannon",237,Transport,107938504,RSHANNON,3,"1478131200.000"
Seattle,114311,"Roger Valencia",237,DBA,24209801,RVALENCIA,10,"1478131200.000"
"San Diego",103251,"Tasha Edwards",237,"Unit Secretary",24219221,TEDWARDS,4,"1478131200.000"
"San Diego",112833,"Virginia Church",237,"Registered Nurse",24216185,VCHURCH,9,"1478131200.000"
Seattle,126837,"Bethany Villegas",238,DBA,24209801,BVILLEGAS,6,"1478131200.000"
"San Diego",138825,"Bryan Michael",238,"Registered Nurse",24216185,BMICHAEL,6,"1478131200.000"
"Santa Rosa",123204,"Dawn Woodward",238,DBA,24209801,DWOODWARD,0,"1478131200.000"
"Santa Rosa",132281,"Donald Werner",238,"Occupational Therapist",24214159,DWERNER,3,"1478131200.000"
Denver,106910,"Gabriel Sosa",238,"Occupational Therapist",24214159,GSOSA,1,"1478131200.000"
"San Diego",109104,"George Shepherd",238,"Occupational Therapist",24214159,GSHEPHERD,9,"1478131200.000"
"San Diego",103844,"Lauren Walters",238,"Registered Nurse",24216185,LWALTERS,3,"1478131200.000"
Honolulu,102563,"Russell Bauer",238,DBA,24209801,RBAUER,6,"1478131200.000"
"San Diego",139617,"Troy Bennett",238,Transport,107938504,TBENNETT,3,"1478131200.000"
Denver,134372,"Geoffrey Conrad",239,DBA,24209801,GCONRAD,1,"1478131200.000"
Denver,114699,"Gregory Lam",239,"Registered Nurse",24216185,GLAM,7,"1478131200.000"
Seattle,108741,"Jack Mcmahon",239,DBA,24209801,JMCMAHON,1,"1478131200.000"
"Santa Rosa",114755,"Katie Shannon",239,DBA,24209801,KSHANNON,2,"1478131200.000"
Honolulu,121897,"Patricia Clay",239,DBA,24209801,PCLAY,1,"1478131200.000"
Honolulu,115084,"Renee Zavala",239,DBA,24209801,RZAVALA,9,"1478131200.000"
Seattle,139744,"Shane Ellis",239,"Occupational Therapist",24214159,SELLIS,3,"1478131200.000"
Denver,134393,"Amy Booker",24,"Physical Therapist",24214774,ABOOKER,7,"1478131200.000"
"Santa Rosa",121898,"Caleb Pacheco",24,"Registered Nurse",24216185,CPACHECO,4,"1478131200.000"
Honolulu,127629,"Casey English",24,"Physical Therapist",24214774,CENGLISH,9,"1478131200.000"
"San Diego",136389,"Frank Conley",24,DBA,24209801,FCONLEY,8,"1478131200.000"
"Santa Rosa",117705,"Gabriel Mullins",24,DBA,24209801,GMULLINS,6,"1478131200.000"
Seattle,126907,"Jay Schaefer",24,"Registered Nurse",24216185,JSCHAEFER,5,"1478131200.000"
"San Diego",139317,"Michelle Parrish",24,"MedRec Audit",24209801,MPARRISH,3,"1478131200.000"
Denver,125453,"Randy Lawrence",24,DBA,24209801,RLAWRENCE,0,"1478131200.000"
Seattle,120477,"Ronald Page",24,"Registered Nurse",24216185,RPAGE,2,"1478131200.000"
"San Diego",112060,"Russell Jarvis",24,DBA,24209801,RJARVIS,6,"1478131200.000"
"San Diego",134409,"Tamara Hensley",24,DBA,24209801,THENSLEY,8,"1478131200.000"
Seattle,117193,"Geoffrey Vasquez",240,DBA,24209801,GVASQUEZ,3,"1478131200.000"
"San Diego",123935,"Jared Reilly",240,"Occupational Therapist",24214159,JREILLY,1,"1478131200.000"
"San Diego",117837,"Jordan Mcconnell",240,DBA,24209801,JMCCONNELL,10,"1478131200.000"
"San Diego",107832,"Larry Barton",240,DBA,24209801,LBARTON,5,"1478131200.000"
Denver,138622,"Luke Mcclain",240,Transport,107938504,LMCCLAIN,7,"1478131200.000"
"San Francisco",136426,"Martin Daniel",240,"Physician CPOE",24214989,MDANIEL,3,"1478131200.000"
Honolulu,122679,"Phillip Tucker",240,DBA,24209801,PTUCKER,6,"1478131200.000"
"San Francisco",107498,"Tabitha Mccullough",240,"Registered Nurse",24216185,TMCCULLOUGH,5,"1478131200.000"
"San Francisco",127079,"Taylor Atkins",240,"Registered Nurse",24216185,TATKINS,4,"1478131200.000"
"San Diego",125748,"Tyler Yates",240,"Physical Therapist",24214774,TYATES,3,"1478131200.000"
Seattle,100590,"Carolyn Frazier",241,DBA,24209801,CFRAZIER,5,"1478131200.000"
"San Francisco",135311,"Derek Salas",2841,DBA,24209801,DSALAS,10,"1478131200.000"
Denver,107874,"Ebony Branch",241,"Registered Nurse",24216185,EBRANCH,2,"1478131200.000"
Seattle,115349,"Gary Dunlap",241,DBA,24209801,GDUNLAP,1,"1478131200.000"
Seattle,112708,"Kimberly Barr",241,"Registered Nurse",24216185,KBARR,2,"1478131200.000"
Honolulu,122179,"Oscar Lee",241,DBA,24209801,OLEE,2,"1478131200.000"
Honolulu,131352,"Philip Buck",241,"Registered Nurse, Case Management",24216672,PBUCK,4,"1478131200.000"
Honolulu,112307,"Russell Zuniga",241,DBA,24209801,RZUNIGA,2,"1478131200.000"
Denver,102188,"Shannon Whitaker",241,DBA,24209801,SWHITAKER,8,"1478131200.000"
"San Francisco",107409,"Alejandro Zamora",242,"Occupational Therapist",24214159,AZAMORA,5,"1478131200.000"
"San Diego",137085,"Heidi Mcintosh",242,"Registered Nurse",24216185,HMCINTOSH,7,"1478131200.000"
Honolulu,112868,"Jamie Barker",242,"Registered Nurse",24216185,JBARKER,3,"1478131200.000"
"San Francisco",100618,"Katrina Hurst",242,DBA,24209801,KHURST,5,"1478131200.000"
Seattle,102821,"Mark Cohen",242,"Registered Nurse",24216185,MCOHEN,3,"1478131200.000"
"San Francisco",116008,"Pamela Armstrong",242,Transport,107938504,PARMSTRONG,7,"1478131200.000"
"San Francisco",103605,"Ryan Crosby",242,"Occupational Therapist",24214159,RCROSBY,8,"1478131200.000"
Denver,127597,"Adrienne Reynolds",243,DBA,24209801,AREYNOLDS,7,"1478131200.000"
Honolulu,136663,"Arthur Frey",243,"Nursing Student",24214009,AFREY,4,"1478131200.000"
"San Francisco",136697,"Cassie Bennett",243,"Occupational Therapist",24214159,CBENNETT,3,"1478131200.000"
"San Diego",120510,"Chase Thompson",243,"Registered Nurse",24216185,CTHOMPSON,3,"1478131200.000"
Honolulu,127763,"Christy Zhang",243,"Physician CPOE",24214989,CZHANG,6,"1478131200.000"
Honolulu,107348,"Colleen Frazier",243,"Registered Nurse",24216185,CFRAZIER,3,"1478131200.000"
"San Francisco",138078,"Devin Carpenter",243,"Speech Therapist",24219154,DCARPENTER,7,"1478131200.000"
"San Francisco",116210,"Jaclyn Mooney",243,DBA,24209801,JMOONEY,9,"1478131200.000"
Denver,118566,"Karen Jefferson",243,Transport,107938504,KJEFFERSON,3,"1478131200.000"
Honolulu,132811,"Nina Hanson",243,Transport,107938504,NHANSON,1,"1478131200.000"
Seattle,112782,"Ryan Wallace",243,"Unit Secretary",24219221,RWALLACE,6,"1478131200.000"
"San Diego",106880,"Alyssa Mathews",244,"Speech Therapist",24219154,AMATHEWS,5,"1478131200.000"
Denver,118970,"Julia Cole",244,DBA,24209801,JCOLE,2,"1478131200.000"
Denver,130130,"Keith Kidd",244,Transport,107938504,KKIDD,1,"1478131200.000"
Denver,117431,"Linda Aguirre",244,"Occupational Therapist",24214159,LAGUIRRE,6,"1478131200.000"
Denver,107703,"Phillip Reeves",244,"Physical Therapist",24214774,PREEVES,9,"1478131200.000"
Denver,114898,"Abigail Osborn",245,"Registered Nurse",24216185,AOSBORN,6,"1478131200.000"
"Santa Rosa",100626,"Cody Campbell",245,DBA,24209801,CCAMPBELL,8,"1478131200.000"
Seattle,132100,"Courtney Randolph",245,"MedRec Audit",24209801,CRANDOLPH,7,"1478131200.000"
Honolulu,104722,"Francisco Castro",245,Transport,107938504,FCASTRO,3,"1478131200.000"
"San Francisco",127250,"Marc Rangel",245,DBA,24209801,MRANGEL,0,"1478131200.000"
Seattle,100740,"Nancy Mason",245,DBA,24209801,NMASON,5,"1478131200.000"
Honolulu,100706,"Vanessa Gilbert",245,"Registered Nurse",24216185,VGILBERT,3,"1478131200.000"
"Santa Rosa",133665,"Whitney Mejia",245,DBA,24209801,WMEJIA,4,"1478131200.000"
"Santa Rosa",139741,"Alyssa Guerrero",246,"Registered Nurse",24216185,AGUERRERO,7,"1478131200.000"
"San Francisco",131440,"Benjamin Ponce",246,"Physical Therapist",24214774,BPONCE,0,"1478131200.000"
Denver,125077,"Clayton Evans",246,"Occupational Therapist",24214159,CEVANS,2,"1478131200.000"
"San Diego",137589,"Clinton Dominguez",246,"Physician CPOE",24214989,CDOMINGUEZ,7,"1478131200.000"
Denver,127636,"Cynthia Buchanan",246,DBA,24209801,CBUCHANAN,7,"1478131200.000"
Honolulu,119449,"Jaclyn Underwood",246,DBA,24209801,JUNDERWOOD,6,"1478131200.000"
"San Francisco",105942,"Joshua Church",246,"Registered Nurse",24216185,JCHURCH,10,"1478131200.000"
"San Francisco",137550,"Kristina Palmer",246,"Registered Nurse",24216185,KPALMER,7,"1478131200.000"
Denver,133202,"Lance Fleming",246,DBA,24209801,LFLEMING,1,"1478131200.000"
"San Francisco",102611,"Marie Kramer",246,"Occupational Therapist",24214159,MKRAMER,9,"1478131200.000"
"Santa Rosa",134021,"Nicholas Santana",246,DBA,24209801,NSANTANA,2,"1478131200.000"
Seattle,107390,"Willie Evans",246,"Nursing Student",24214009,WEVANS,0,"1478131200.000"
"San Francisco",117107,"Adrian Meadows",247,"Registered Nurse",24216185,AMEADOWS,3,"1478131200.000"
Seattle,138380,"Allison Lane",247,DBA,24209801,ALANE,7,"1478131200.000"
"San Diego",131960,"Andre Day",247,DBA,24209801,ADAY,5,"1478131200.000"
"San Diego",100377,"Angelica Graham",247,"Occupational Therapist",24214159,AGRAHAM,2,"1478131200.000"
"San Diego",132014,"Brandon Alvarado",247,Transport,107938504,BALVARADO,7,"1478131200.000"
Seattle,107915,"Clayton Fox",247,DBA,24209801,CFOX,9,"1478131200.000"
"San Diego",100017,"Sharon Elliott",247,DBA,24209801,SELLIOTT,10,"1478131200.000"
"San Diego",121919,"Travis Reeves",247,"Physical Therapist",24214774,TREEVES,7,"1478131200.000"
Honolulu,111759,"Caroline Mathews",248,"Physician CPOE",24214989,CMATHEWS,8,"1478131200.000"
"San Francisco",103829,"Cheryl Mckay",248,Transport,107938504,CMCKAY,7,"1478131200.000"
"San Francisco",121088,"Christian Chambers",248,"Registered Nurse",24216185,CCHAMBERS,3,"1478131200.000"
"San Francisco",133201,"David Fitzgerald",248,DBA,24209801,DFITZGERALD,8,"1478131200.000"
"San Diego",136389,"Frank Conley",248,DBA,24209801,FCONLEY,8,"1478131200.000"
Honolulu,116610,"Jesse Morrow",248,"Registered Nurse",24216185,JMORROW,3,"1478131200.000"
"San Francisco",133314,"Meredith Maldonado",248,Transport,107938504,MMALDONADO,8,"1478131200.000"
Denver,129411,"Zachary Monroe",248,"Registered Nurse",24216185,ZMONROE,7,"1478131200.000"
Denver,134393,"Amy Booker",249,"Physical Therapist",24214774,ABOOKER,7,"1478131200.000"
"San Diego",138472,"Anna Richardson",249,"Midlevel Provider, Hospitalist",24213304,ARICHARDSON,7,"1478131200.000"
Honolulu,103462,"Dominique Avila",249,DBA,24209801,DAVILA,8,"1478131200.000"
Seattle,119581,"Donald Henderson",249,DBA,24209801,DHENDERSON,4,"1478131200.000"
"San Diego",111323,"Emily Bright",249,"Speech Therapist",24219154,EBRIGHT,8,"1478131200.000"
Denver,138073,"Miranda Osborne",249,"Registered Nurse",24216185,MOSBORNE,3,"1478131200.000"
Denver,127597,"Adrienne Reynolds",25,DBA,24209801,AREYNOLDS,7,"1478131200.000"
Honolulu,130441,"Alexander Ball",25,Transport,107938504,ABALL,9,"1478131200.000"
"San Diego",131960,"Andre Day",25,DBA,24209801,ADAY,5,"1478131200.000"
"San Diego",110227,"Brandy Higgins",25,Transport,107938504,BHIGGINS,1,"1478131200.000"
Honolulu,128199,"Dylan Harmon",25,DBA,24209801,DHARMON,2,"1478131200.000"
Denver,131385,"Eric Obrien",25,"Registered Nurse",24216185,EOBRIEN,1,"1478131200.000"
"Santa Rosa",122036,"Jeremiah Olsen",25,DBA,24209801,JOLSEN,7,"1478131200.000"
Denver,130130,"Keith Kidd",25,Transport,107938504,KKIDD,1,"1478131200.000"
"San Diego",101012,"Kristina Cook",25,DBA,24209801,KCOOK,8,"1478131200.000"
Seattle,108521,"Melinda House",25,"Physical Therapist",24214774,MHOUSE,2,"1478131200.000"
"San Diego",137957,"Ross Deleon",25,"Occupational Therapist",24214159,RDELEON,7,"1478131200.000"
"San Francisco",127079,"Taylor Atkins",25,"Registered Nurse",24216185,TATKINS,4,"1478131200.000"
"Santa Rosa",122601,"Tiffany Davies",25,DBA,24209801,TDAVIES,5,"1478131200.000"
"San Francisco",124934,"Trevor Boyd",25,"Registered Nurse",24216185,TBOYD,8,"1478131200.000"
"San Diego",130078,"Autumn Shah",250,DBA,24209801,ASHAH,5,"1478131200.000"
Honolulu,101214,"Calvin Hoffman",250,"Registered Nurse",24216185,CHOFFMAN,7,"1478131200.000"
"San Diego",123990,"Cindy Farrell",250,"Registered Nurse",24216185,CFARRELL,2,"1478131200.000"
Honolulu,113345,"Desiree Villanueva",250,"Registered Nurse",24216185,DVILLANUEVA,2,"1478131200.000"
"San Diego",138517,"Diana Mccormick",250,"Registered Nurse",24216185,DMCCORMICK,4,"1478131200.000"
Seattle,126907,"Jay Schaefer",250,"Registered Nurse",24216185,JSCHAEFER,5,"1478131200.000"
Honolulu,112795,"Jordan Wang",250,"Physical Therapist",24214774,JWANG,1,"1478131200.000"
"San Diego",132867,"Monique Esparza",250,ViewPointTEST,107182619,MESPARZA,8,"1478131200.000"
Denver,106997,"Rachel Glenn",250,DBA,24209801,RGLENN,1,"1478131200.000"
Seattle,106853,"Mallory Waters",251,"Physician CPOE",24214989,MWATERS,6,"1478131200.000"
Seattle,120477,"Ronald Page",251,"Registered Nurse",24216185,RPAGE,2,"1478131200.000"
"San Francisco",123494,"Sharon Griffith",251,DBA,24209801,SGRIFFITH,10,"1478131200.000"
"San Francisco",122786,"Candace Fritz",252,DBA,24209801,CFRITZ,8,"1478131200.000"
"San Diego",114096,"Carlos Ritter",252,DBA,24209801,CRITTER,5,"1478131200.000"
"Santa Rosa",139009,"Jose Calhoun",252,DBA,24209801,JCALHOUN,8,"1478131200.000"
Seattle,102432,"Joseph Hodge",252,"Registered Nurse",24216185,JHODGE,9,"1478131200.000"
Denver,100829,"Nancy Patrick",252,DBA,24209801,NPATRICK,2,"1478131200.000"
"San Diego",125221,"Ross Santos",252,"Unit Secretary",24219221,RSANTOS,2,"1478131200.000"
Denver,108169,"Shannon Cain",252,"Nursing Student",24214009,SCAIN,9,"1478131200.000"
Denver,126001,"Trevor Butler",252,DBA,24209801,TBUTLER,9,"1478131200.000"
"Santa Rosa",111579,"Joe Andersen",253,DBA,24209801,JANDERSEN,0,"1478131200.000"
"San Diego",104495,"Linda Steele",253,Transport,107938504,LSTEELE,2,"1478131200.000"
Honolulu,123593,"Megan Preston",253,DBA,24209801,MPRESTON,2,"1478131200.000"
Seattle,106144,"Pamela Holmes",253,"Speech Therapist",24219154,PHOLMES,10,"1478131200.000"
"Santa Rosa",127121,"Stacy Velasquez",253,"Occupational Therapist",24214159,SVELASQUEZ,3,"1478131200.000"
"San Diego",115716,"Brent Andrade",254,"Physician CPOE",24214989,BANDRADE,3,"1478131200.000"
"San Francisco",109432,"Dawn Patterson",254,"Registered Nurse",24216185,DPATTERSON,2,"1478131200.000"
Seattle,128486,"Joel Villanueva",254,"Physician, Hospitalist Service",24215364,JVILLANUEVA,2,"1478131200.000"
Honolulu,133069,"Lee Rosales",254,"Occupational Therapist",24214159,LROSALES,4,"1478131200.000"
"San Francisco",126645,"Lindsey Hoffman",254,"Occupational Therapist",24214159,LHOFFMAN,4,"1478131200.000"
Seattle,133666,"Margaret Huynh",254,"Registered Nurse",24216185,MHUYNH,8,"1478131200.000"
"San Francisco",134939,"Meredith Foley",254,"Registered Nurse",24216185,MFOLEY,4,"1478131200.000"
Seattle,135381,"Mitchell Frank",254,DBA,24209801,MFRANK,3,"1478131200.000"
"San Diego",111569,"Patricia Drake",254,DBA,24209801,PDRAKE,4,"1478131200.000"
"Santa Rosa",121233,"Wendy Hodges",254,DBA,24209801,WHODGES,10,"1478131200.000"
Denver,111558,"Adam Sims",255,DBA,24209801,ASIMS,0,"1478131200.000"
"San Diego",129550,"Andre Bennett",255,DBA,24209801,ABENNETT,3,"1478131200.000"
"Santa Rosa",111631,"Angel Garcia",255,"Registered Nurse",24216185,AGARCIA,7,"1478131200.000"
"Santa Rosa",122995,"Brent Schultz",255,DBA,24209801,BSCHULTZ,8,"1478131200.000"
"San Francisco",116095,"Brittney Lamb",255,Transport,107938504,BLAMB,8,"1478131200.000"
Seattle,130730,"Cory Wiley",255,"Registered Nurse",24216185,CWILEY,2,"1478131200.000"
"Santa Rosa",117705,"Gabriel Mullins",255,DBA,24209801,GMULLINS,6,"1478131200.000"
"San Diego",102760,"Jacob Burke",255,DBA,24209801,JBURKE,3,"1478131200.000"
Seattle,119570,"Jacqueline Andrade",255,DBA,24209801,JANDRADE,6,"1478131200.000"
